"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Cesar Hernandez","Indians","25.7%","64.5%","42.4%","62.4%","92.0%","81.8%","43.2%","61.7%","7.7%","10556"
"Jason Castro","- - -","25.8%","64.2%","42.1%","60.0%","69.4%","66.1%","42.6%","53.3%","14.3%","8722"
"Monte Harrison","Marlins","25.8%","62.4%","40.1%","50.0%","66.0%","59.8%","39.2%","54.9%","16.1%","17216"
"Wil Myers","Padres","25.8%","65.0%","41.8%","55.0%","85.2%","74.1%","40.7%","60.6%","10.8%","10047"
"Jarrod Dyson","- - -","25.8%","66.1%","46.0%","65.6%","86.6%","80.7%","50.0%","62.1%","8.9%","4866"
"Cameron Maybin","- - -","25.9%","71.7%","45.0%","41.7%","84.9%","70.4%","41.7%","57.4%","13.3%","5223"
"Jose Ramirez","Indians","25.9%","65.6%","41.4%","80.6%","88.8%","85.7%","39.3%","52.4%","5.9%","13510"
"Tucker Barnhart","Reds","25.9%","67.8%","42.9%","61.2%","85.0%","76.5%","40.6%","56.4%","10.1%","10200"
"Austin Hedges","- - -","25.9%","59.2%","40.0%","56.0%","89.3%","76.9%","42.4%","54.2%","9.3%","12976"
"Robbie Grossman","Athletics","25.9%","66.9%","43.4%","70.5%","89.7%","83.1%","42.6%","54.2%","7.3%","5254"
"Aaron Judge","Yankees","25.9%","68.9%","42.7%","39.0%","84.0%","67.3%","39.0%","55.3%","14.0%","15640"
"Sam Haggerty","Mariners","26.0%","70.6%","45.9%","33.3%","84.7%","68.6%","44.5%","66.7%","14.4%","18054"
"Justin Smoak","- - -","26.0%","67.8%","43.1%","51.8%","81.2%","70.7%","41.0%","58.3%","12.6%","9054"
"Ryan O'Hearn","Royals","26.0%","66.1%","41.9%","55.7%","81.5%","71.8%","39.5%","49.2%","11.8%","16442"
"Justin Upton","Angels","26.2%","66.6%","43.7%","51.5%","83.8%","72.8%","43.4%","58.4%","11.9%","5222"
"Martin Maldonado","Astros","26.2%","64.8%","42.5%","54.3%","84.7%","73.9%","42.2%","66.7%","11.1%","6887"
"Miguel Rojas","Marlins","26.2%","57.5%","39.1%","79.3%","87.3%","84.1%","41.2%","59.4%","6.2%","7802"
"Nate Lowe","Rays","26.2%","58.0%","40.3%","65.1%","78.9%","73.9%","44.4%","57.9%","10.5%","19566"
"J.D. Davis","Mets","26.3%","69.6%","44.9%","52.4%","82.0%","72.1%","42.9%","65.9%","12.5%","16219"
"Mike Tauchman","Yankees","26.4%","70.9%","45.0%","63.9%","79.9%","74.4%","41.8%","53.2%","11.5%","15274"
"Jasrado Chisholm","Marlins","26.4%","58.0%","38.4%","53.5%","91.4%","75.2%","38.0%","61.3%","9.5%","20454"
"Kyle Lewis","Mariners","26.5%","65.9%","43.2%","45.3%","76.6%","65.6%","42.4%","60.7%","14.9%","19508"
"Andrew Knapp","Phillies","26.7%","72.7%","46.7%","63.5%","78.0%","73.3%","43.5%","60.7%","12.5%","14942"
"Ryan Jeffers","Twins","26.7%","64.7%","42.3%","53.8%","80.3%","70.5%","41.1%","62.9%","12.5%","24618"
"Ji-Man Choi","Rays","26.7%","68.5%","44.4%","48.9%","83.1%","71.2%","42.2%","61.4%","12.8%","5452"
"Ben Gamel","Brewers","26.8%","64.0%","42.3%","40.0%","92.7%","73.3%","41.7%","58.3%","11.3%","12160"
"Randy Arozarena","Rays","26.8%","65.6%","42.2%","48.1%","75.0%","64.7%","39.8%","51.3%","14.9%","19290"
"Brandon Lowe","Rays","26.8%","74.4%","46.8%","47.4%","76.8%","67.1%","42.1%","58.0%","15.4%","18882"
"Eugenio Suarez","Reds","26.9%","65.7%","41.6%","52.7%","82.7%","70.7%","37.9%","62.3%","12.2%","12552"
"Matt Chapman","Athletics","26.9%","66.6%","44.7%","49.5%","74.4%","66.1%","44.9%","56.6%","15.2%","16505"
"Vimael Machin","Athletics","27.0%","70.3%","45.9%","63.4%","91.6%","82.3%","43.7%","56.3%","8.1%","17684"
"Dylan Moore","Mariners","27.0%","61.2%","41.5%","59.8%","82.9%","74.3%","42.4%","63.5%","10.7%","18042"
"Ian Happ","Cubs","27.0%","66.4%","43.5%","41.2%","80.8%","66.5%","41.8%","57.6%","14.6%","17919"
"David Fletcher","Angels","27.0%","49.3%","37.1%","85.8%","96.0%","92.0%","45.3%","58.3%","3.0%","17992"
"Carson Kelly","Diamondbacks","27.0%","65.2%","45.7%","67.1%","82.0%","77.5%","48.8%","57.4%","10.3%","13620"
"Ramon Laureano","Athletics","27.0%","58.4%","40.2%","60.7%","88.6%","77.8%","42.1%","58.1%","8.9%","17128"
"Rhys Hoskins","Phillies","27.1%","61.9%","41.5%","63.1%","83.8%","75.9%","41.4%","56.8%","10.0%","16472"
"Kolten Wong","Cardinals","27.3%","65.9%","42.9%","76.8%","90.7%","85.4%","40.4%","56.7%","6.2%","12532"
