"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Corey Dickerson","- - -","46.2%","77.8%","58.4%","71.6%","79.3%","75.6%","38.5%","61.6%","14.2%","10762"
"Mauricio Dubon","- - -","46.2%","72.7%","56.7%","75.2%","89.2%","82.3%","39.5%","65.8%","10.0%","16530"
"Eddie Rosario","Twins","46.3%","80.4%","59.1%","75.3%","85.1%","80.3%","37.6%","59.5%","11.7%","12155"
"Ronny Rodriguez","Tigers","46.3%","67.8%","54.6%","55.6%","76.3%","65.5%","38.7%","66.3%","18.9%","11875"
"Jose Iglesias","Reds","46.7%","68.1%","55.4%","81.6%","90.5%","86.0%","40.6%","64.7%","7.7%","10231"
"Yairo Munoz","Cardinals","46.7%","77.6%","59.8%","58.2%","88.4%","74.7%","42.2%","74.0%","15.1%","16313"
"Dawel Lugo","Tigers","47.1%","66.3%","55.0%","75.1%","86.8%","80.9%","40.9%","69.8%","10.5%","14713"
"Hanser Alberto","Orioles","47.6%","73.7%","58.3%","78.7%","93.6%","86.5%","41.1%","66.2%","7.9%","11902"
"Scooter Gennett","- - -","47.7%","75.0%","58.2%","72.3%","81.3%","76.7%","38.2%","66.9%","13.5%","10339"
"Francisco Mejia","Padres","47.9%","70.6%","56.4%","71.4%","82.1%","76.4%","37.7%","65.2%","13.3%","16403"
"John Hicks","Tigers","48.3%","79.8%","61.7%","54.5%","76.5%","66.7%","42.8%","71.2%","20.6%","12547"
"Kevin Pillar","- - -","48.8%","74.6%","58.6%","74.4%","93.0%","83.4%","38.0%","64.5%","9.7%","12434"
"Jorge Alfaro","Marlins","50.4%","80.8%","61.2%","52.8%","76.6%","63.9%","35.6%","63.2%","22.1%","12180"
